core,lut_logic,carry,ff,srl,dsp,bram36,ramb18,fmax_mhz,levels
exp2 baseline,901,25,248,2,4,1,2,48.9,17
exp2 opt,584,23,153,11,5,1,2,50.6,15
exp2 opt+retime,654,33,506,16,5,1,2,161.7,6
expe full-lut,40,0,54,0,0,2,0,283.4,1
expe hybrid,107,0,64,0,0,0.5,1,250.3,3
expe cut,254,11,110,0,1,0,0,117.0,12
expe cut+retime,228,11,190,13,1,0,0,193.2,8
expe poly4,142,0,101,19,5,0,0,110.2,4
poly4+retime,143,0,189,23,5,0,0,183.8,3
poly4 dsp,80,0,105,19,6,0,0,155.8,1
poly4 dsp+retime,82,0,200,23,6,0,0,163.9,1
AVAILABLE,134600,33650,269200,46200,740,365,730,,
