family,config,stages,lut_logic,ff,srl,dsp,bram36,fmax_mhz,generics
full-lut,full-lut,4,40,54,0,0,2,283.4,
hybrid,hybrid,4,107,64,0,0,0.5,250.3,
cut,cut C0 F0,4,254,110,0,1,0,117.0,RETIME_CUT=0 RETIME_FE=0
cut,cut C1 F0,5,238,169,0,1,0,128.3,RETIME_CUT=1 RETIME_FE=0
cut,cut C0 F1,5,244,125,0,1,0,117.0,RETIME_CUT=0 RETIME_FE=1
cut,cut C2 F0,6,239,178,13,1,0,124.2,RETIME_CUT=2 RETIME_FE=0
cut,cut C1 F1,6,223,180,5,1,0,141.9,RETIME_CUT=1 RETIME_FE=1
cut,cut C2 F1,7,228,190,13,1,0,193.2,RETIME_CUT=2 RETIME_FE=1
poly4,poly4 M0 F0,7,142,101,19,5,0,110.2,RETIME_MULT=0 RETIME_FE=0
poly4,poly4 M0 F1,8,135,111,19,5,0,148.8,RETIME_MULT=0 RETIME_FE=1
poly4,poly4 M0 F2,9,140,134,23,5,0,183.8,RETIME_MULT=0 RETIME_FE=2
poly4,poly4 M1 F0,11,142,156,19,5,0,111.3,RETIME_MULT=1 RETIME_FE=0
poly4,poly4 M1 F1,12,138,166,19,5,0,150.8,RETIME_MULT=1 RETIME_FE=1
poly4,poly4 M1 F2,13,143,189,23,5,0,183.8,RETIME_MULT=1 RETIME_FE=2
poly4dsp,p4dsp M0 F0,8,80,105,19,6,0,155.8,DSP_FRONTEND=1 RESET_DATAPATH=0 RETIME_MULT=0 RETIME_FE=0
poly4dsp,p4dsp M0 F2,9,82,145,23,6,0,163.9,DSP_FRONTEND=1 RESET_DATAPATH=0 RETIME_MULT=0 RETIME_FE=2
poly4dsp,p4dsp M1 F0,12,80,160,19,6,0,194.3,DSP_FRONTEND=1 RESET_DATAPATH=0 RETIME_MULT=1 RETIME_FE=0
poly4dsp,p4dsp M1 F2,13,82,200,23,6,0,163.9,DSP_FRONTEND=1 RESET_DATAPATH=0 RETIME_MULT=1 RETIME_FE=2
